epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1341,1.49732,1.95626,1.11002,0.53107,0.32029,0.33336,0.19522,1.32694,1.19831,1.01939,0.000255648,0.000255648,0.000255648
2,60.7622,1.36058,1.25649,1.06729,0.49802,0.41111,0.42672,0.24987,1.29926,1.03734,1.02646,0.000506913,0.000506913,0.000506913
3,89.5056,1.33045,1.12911,1.0612,0.50376,0.45469,0.46846,0.27593,1.28126,0.99036,1.03823,0.000753102,0.000753102,0.000753102
4,118.562,1.28696,1.02525,1.0508,0.70259,0.47792,0.53241,0.32327,1.2136,0.92619,1.0166,0.000746161,0.000746161,0.000746161
5,147.241,1.25528,0.96833,1.04098,0.57031,0.53143,0.56143,0.34342,1.17792,0.86811,1.01241,0.000738548,0.000738548,0.000738548
6,176.046,1.22732,0.92881,1.02889,0.61122,0.52539,0.57616,0.35184,1.1726,0.85941,1.01455,0.000730935,0.000730935,0.000730935
7,204.557,1.20281,0.89117,1.02056,0.64989,0.56196,0.60997,0.3862,1.13879,0.82147,0.9936,0.000723321,0.000723321,0.000723321
8,233.151,1.19499,0.87257,1.01729,0.71363,0.5633,0.63646,0.39975,1.13013,0.79402,0.98874,0.000715708,0.000715708,0.000715708
9,261.751,1.17484,0.85065,1.01303,0.69936,0.59428,0.65859,0.41579,1.12633,0.7712,0.98144,0.000708095,0.000708095,0.000708095
10,290.414,1.1609,0.83433,1.00764,0.69284,0.59884,0.66606,0.42508,1.09913,0.75763,0.98876,0.000700482,0.000700482,0.000700482
11,318.992,1.15461,0.81556,1.00522,0.68774,0.60353,0.65718,0.42588,1.08412,0.7399,0.98593,0.000692869,0.000692869,0.000692869
12,347.444,1.14027,0.80177,1.00062,0.75857,0.58002,0.68033,0.43703,1.0686,0.73302,0.97448,0.000685256,0.000685256,0.000685256
13,375.843,1.13127,0.79459,0.99643,0.71635,0.63344,0.6971,0.44262,1.07972,0.72911,0.97889,0.000677643,0.000677643,0.000677643
14,404.465,1.11902,0.77484,0.99239,0.77423,0.61576,0.69681,0.45217,1.052,0.70689,0.97368,0.00067003,0.00067003,0.00067003
15,432.785,1.11085,0.76839,0.9905,0.70423,0.6513,0.70268,0.45581,1.05064,0.69456,0.97395,0.000662417,0.000662417,0.000662417
16,461.161,1.10111,0.75873,0.98882,0.73143,0.64948,0.71562,0.47166,1.0317,0.68441,0.95879,0.000654804,0.000654804,0.000654804
17,489.626,1.09832,0.75026,0.98608,0.72606,0.65755,0.72623,0.47865,1.02848,0.68755,0.96386,0.00064719,0.00064719,0.00064719
18,518.294,1.08835,0.74497,0.98142,0.79467,0.64856,0.73954,0.48522,1.01259,0.66407,0.95432,0.000639577,0.000639577,0.000639577
19,546.689,1.0752,0.72822,0.97787,0.81,0.64994,0.74643,0.5001,0.99775,0.65286,0.95283,0.000631964,0.000631964,0.000631964
20,575.36,1.07158,0.72428,0.97692,0.77956,0.66556,0.74462,0.5019,0.99484,0.65877,0.95042,0.000624351,0.000624351,0.000624351
21,603.584,1.06523,0.71865,0.97473,0.77267,0.67586,0.74931,0.50034,0.98615,0.64555,0.9474,0.000616738,0.000616738,0.000616738
22,631.785,1.06241,0.71692,0.97234,0.80784,0.67039,0.75651,0.50947,0.97943,0.63726,0.94465,0.000609125,0.000609125,0.000609125
23,660.507,1.05003,0.70048,0.96774,0.78072,0.69067,0.75925,0.51264,0.97686,0.63404,0.94398,0.000601512,0.000601512,0.000601512
24,688.869,1.05287,0.70449,0.9691,0.79193,0.69977,0.77155,0.51979,0.96977,0.6212,0.93995,0.000593899,0.000593899,0.000593899
25,717.219,1.04225,0.69527,0.96495,0.83272,0.69109,0.77941,0.52712,0.965,0.62716,0.94202,0.000586286,0.000586286,0.000586286
26,745.606,1.04067,0.69491,0.967,0.82548,0.69402,0.77966,0.52748,0.95437,0.61693,0.93581,0.000578672,0.000578672,0.000578672
27,774.172,1.03567,0.68793,0.96324,0.78988,0.70327,0.77725,0.52734,0.95339,0.61519,0.93765,0.000571059,0.000571059,0.000571059
28,802.706,1.02405,0.67762,0.96028,0.82509,0.71265,0.79016,0.53541,0.94414,0.60713,0.93409,0.000563446,0.000563446,0.000563446
29,831.115,1.02486,0.67545,0.96084,0.77546,0.72433,0.78198,0.53647,0.94074,0.60238,0.93454,0.000555833,0.000555833,0.000555833
30,859.87,1.01689,0.67143,0.95857,0.80611,0.71288,0.78664,0.54235,0.93203,0.60242,0.93087,0.00054822,0.00054822,0.00054822
31,888.55,1.01397,0.66895,0.95604,0.80536,0.72179,0.79298,0.54707,0.92815,0.59688,0.92748,0.000540607,0.000540607,0.000540607
32,916.798,1.00576,0.661,0.95477,0.78654,0.73617,0.79806,0.55046,0.92328,0.59291,0.929,0.000532994,0.000532994,0.000532994
33,945.341,1.00204,0.65921,0.953,0.80682,0.72755,0.80067,0.55503,0.9129,0.58315,0.92386,0.000525381,0.000525381,0.000525381
34,973.684,1.00051,0.6567,0.9524,0.82434,0.7301,0.80581,0.56114,0.90942,0.57682,0.92215,0.000517768,0.000517768,0.000517768
35,1002.17,0.9944,0.65218,0.95283,0.81876,0.74186,0.81048,0.56758,0.90059,0.57376,0.92387,0.000510155,0.000510155,0.000510155
36,1030.56,0.98465,0.64232,0.94778,0.80455,0.74774,0.81109,0.57033,0.89486,0.57281,0.91592,0.000502541,0.000502541,0.000502541
37,1058.96,0.98667,0.64297,0.94616,0.80411,0.75599,0.818,0.56861,0.89722,0.56829,0.91971,0.000494928,0.000494928,0.000494928
38,1087.01,0.9851,0.6428,0.94558,0.83251,0.74172,0.81357,0.57286,0.89069,0.56604,0.91459,0.000487315,0.000487315,0.000487315
39,1115.46,0.97898,0.63584,0.94454,0.84598,0.73369,0.81578,0.5768,0.88788,0.56245,0.91343,0.000479702,0.000479702,0.000479702
40,1144.21,0.9796,0.64025,0.94607,0.81724,0.75642,0.82035,0.58148,0.88383,0.55824,0.91097,0.000472089,0.000472089,0.000472089
41,1172.56,0.97025,0.62871,0.94207,0.83456,0.75543,0.82406,0.58416,0.88478,0.55731,0.91872,0.000464476,0.000464476,0.000464476
42,1201.09,0.96349,0.62566,0.94055,0.83985,0.74874,0.82527,0.5867,0.87559,0.549,0.9098,0.000456863,0.000456863,0.000456863
43,1229.36,0.96385,0.62179,0.93852,0.85366,0.75191,0.8291,0.58824,0.87232,0.54936,0.90917,0.00044925,0.00044925,0.00044925
44,1258.42,0.95787,0.61962,0.93648,0.84169,0.76114,0.83211,0.59294,0.86424,0.54148,0.90695,0.000441637,0.000441637,0.000441637
45,1286.57,0.95578,0.61911,0.93706,0.82849,0.76587,0.83049,0.59306,0.86337,0.54413,0.9079,0.000434024,0.000434024,0.000434024
46,1314.78,0.94878,0.61412,0.93467,0.83547,0.76922,0.83546,0.59805,0.85686,0.53981,0.90463,0.000426411,0.000426411,0.000426411
47,1343.44,0.95216,0.61224,0.93424,0.84886,0.76248,0.83313,0.59877,0.85081,0.53432,0.90374,0.000418797,0.000418797,0.000418797
48,1371.82,0.95025,0.60914,0.9329,0.8501,0.76189,0.83471,0.60079,0.84918,0.53206,0.90389,0.000411184,0.000411184,0.000411184
49,1400.13,0.94202,0.60743,0.93258,0.84815,0.77332,0.83887,0.60597,0.8422,0.53073,0.89992,0.000403571,0.000403571,0.000403571
50,1428.46,0.94016,0.60041,0.93118,0.84312,0.77455,0.839,0.60675,0.8393,0.52574,0.90122,0.000395958,0.000395958,0.000395958
51,1456.8,0.93031,0.59645,0.92772,0.83608,0.77689,0.83959,0.6087,0.83791,0.52841,0.89892,0.000388345,0.000388345,0.000388345
52,1485.18,0.9321,0.5985,0.93072,0.84729,0.77697,0.84252,0.6107,0.83319,0.52075,0.89732,0.000380732,0.000380732,0.000380732
53,1513.49,0.92969,0.59578,0.92916,0.853,0.77862,0.84661,0.61644,0.82837,0.51752,0.89894,0.000373119,0.000373119,0.000373119
54,1541.96,0.92818,0.59444,0.9276,0.83956,0.78126,0.84345,0.61829,0.82418,0.51865,0.895,0.000365506,0.000365506,0.000365506
55,1570.13,0.92069,0.58878,0.92561,0.84904,0.77839,0.84517,0.61851,0.82045,0.51471,0.89662,0.000357893,0.000357893,0.000357893
56,1598.49,0.92141,0.59069,0.92633,0.84599,0.78676,0.8482,0.62312,0.81916,0.51454,0.89196,0.00035028,0.00035028,0.00035028
57,1626.79,0.92228,0.58741,0.9245,0.85627,0.78243,0.85014,0.62459,0.81699,0.51112,0.892,0.000342666,0.000342666,0.000342666
