epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4029,1.57225,2.0414,1.14367,0.42787,0.30678,0.28759,0.16809,1.42755,1.29281,1.04988,0.000255648,0.000255648,0.000255648
2,61.1752,1.42526,1.33308,1.09356,0.47672,0.37411,0.37735,0.21489,1.35511,1.13349,1.05653,0.000506913,0.000506913,0.000506913
3,90.1868,1.39173,1.1941,1.08784,0.43232,0.42513,0.41752,0.24735,1.30011,1.04329,1.04011,0.000753102,0.000753102,0.000753102
4,119.053,1.35401,1.0983,1.07951,0.58389,0.44305,0.47398,0.27628,1.27246,0.9819,1.0468,0.000746161,0.000746161,0.000746161
5,147.869,1.30968,1.03103,1.06543,0.54429,0.47495,0.50528,0.30429,1.22357,0.93177,1.02731,0.000738548,0.000738548,0.000738548
6,176.278,1.28819,0.99214,1.05531,0.57846,0.50185,0.52982,0.3198,1.20859,0.8915,1.02738,0.000730935,0.000730935,0.000730935
7,205.035,1.26025,0.9531,1.04319,0.62927,0.51016,0.56548,0.34738,1.18496,0.86452,1.01696,0.000723321,0.000723321,0.000723321
8,233.673,1.25271,0.93543,1.04014,0.63391,0.51915,0.57346,0.3532,1.18639,0.8571,1.01729,0.000715708,0.000715708,0.000715708
9,261.992,1.23198,0.91284,1.03494,0.62577,0.5463,0.59296,0.36567,1.19394,0.82829,1.0267,0.000708095,0.000708095,0.000708095
10,290.292,1.21481,0.88662,1.02801,0.62698,0.52109,0.57448,0.35353,1.16507,0.82093,1.00905,0.000700482,0.000700482,0.000700482
11,318.655,1.20423,0.86948,1.02558,0.65138,0.57302,0.63042,0.39588,1.13456,0.77612,1.00664,0.000692869,0.000692869,0.000692869
12,347.103,1.19531,0.85975,1.02269,0.69408,0.55433,0.6197,0.39146,1.11422,0.78177,0.99051,0.000685256,0.000685256,0.000685256
13,375.447,1.18379,0.84806,1.01548,0.68027,0.58476,0.64833,0.40553,1.12485,0.76382,0.99956,0.000677643,0.000677643,0.000677643
14,404.283,1.17358,0.82931,1.01393,0.71216,0.59532,0.66235,0.42211,1.09638,0.74298,0.98733,0.00067003,0.00067003,0.00067003
15,432.397,1.16816,0.82478,1.01179,0.73979,0.5752,0.65718,0.42101,1.09356,0.74294,0.98635,0.000662417,0.000662417,0.000662417
16,460.997,1.15518,0.80834,1.00788,0.73601,0.59159,0.66881,0.4268,1.08885,0.72885,0.98092,0.000654804,0.000654804,0.000654804
17,489.641,1.14785,0.80198,1.00492,0.72775,0.60528,0.67509,0.43414,1.07787,0.72747,0.98424,0.00064719,0.00064719,0.00064719
18,518.043,1.1382,0.79391,0.9999,0.7528,0.61027,0.68648,0.44056,1.07385,0.71693,0.98057,0.000639577,0.000639577,0.000639577
19,546.397,1.1276,0.78219,0.99777,0.76664,0.61036,0.69403,0.45083,1.05605,0.70352,0.9709,0.000631964,0.000631964,0.000631964
20,574.835,1.12116,0.77002,0.99555,0.74466,0.63234,0.70231,0.4566,1.05088,0.6955,0.96998,0.000624351,0.000624351,0.000624351
21,603.12,1.11573,0.76644,0.99322,0.74926,0.63315,0.70841,0.46362,1.03826,0.68791,0.96763,0.000616738,0.000616738,0.000616738
22,631.17,1.11791,0.76454,0.9922,0.80145,0.6098,0.71223,0.46885,1.02836,0.6823,0.96818,0.000609125,0.000609125,0.000609125
23,659.503,1.10184,0.74649,0.98654,0.77951,0.64345,0.72172,0.47674,1.02513,0.67484,0.96676,0.000601512,0.000601512,0.000601512
24,687.514,1.10221,0.74766,0.98556,0.77817,0.6549,0.73464,0.48546,1.01846,0.65902,0.96062,0.000593899,0.000593899,0.000593899
25,715.916,1.09283,0.74182,0.98351,0.79155,0.64677,0.73191,0.48001,1.02215,0.66822,0.96186,0.000586286,0.000586286,0.000586286
26,744.155,1.09177,0.73891,0.98513,0.7634,0.66855,0.73663,0.48841,1.00193,0.65412,0.95655,0.000578672,0.000578672,0.000578672
27,772.269,1.08327,0.73374,0.97984,0.79531,0.65588,0.73945,0.49179,0.99626,0.65186,0.95044,0.000571059,0.000571059,0.000571059
28,800.925,1.07373,0.72032,0.97777,0.81621,0.6686,0.7579,0.50431,0.98955,0.63828,0.95083,0.000563446,0.000563446,0.000563446
29,829.115,1.07388,0.71877,0.97735,0.80573,0.66779,0.75354,0.50479,0.98092,0.63826,0.9517,0.000555833,0.000555833,0.000555833
