epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23592,1.33718,3.35205,1.23294,0.86098,0.05583,0.16754,0.11223,1.29167,3.32022,1.19924,0.000233673,0.000233673,0.000233673
2,7.74827,1.25418,2.24761,1.20127,0.50714,0.30631,0.33875,0.21331,1.40421,2.43855,1.28735,0.000467003,0.000467003,0.000467003
3,11.3891,1.28043,2.04647,1.21979,0.39489,0.34542,0.323,0.18637,1.46933,2.21323,1.34412,0.000695621,0.000695621,0.000695621
4,14.8616,1.29444,1.97968,1.22363,0.43384,0.37601,0.37615,0.20174,1.46016,2.04656,1.36566,0.000692794,0.000692794,0.000692794
5,18.4236,1.23883,1.8372,1.19851,0.48565,0.45611,0.45729,0.27439,1.34465,1.79683,1.29249,0.000685726,0.000685726,0.000685726
6,22.2955,1.21947,1.74577,1.18547,0.52893,0.45151,0.44624,0.27771,1.32132,1.77303,1.26154,0.000678657,0.000678657,0.000678657
7,26.191,1.22352,1.68737,1.19039,0.56387,0.45084,0.48437,0.29043,1.30629,1.73834,1.25689,0.000671588,0.000671588,0.000671588
8,29.9563,1.18606,1.62251,1.17477,0.53938,0.4637,0.5024,0.30645,1.32772,1.75405,1.26151,0.00066452,0.00066452,0.00066452
9,33.798,1.15139,1.55099,1.15467,0.69172,0.41575,0.52795,0.33061,1.29265,1.57164,1.2443,0.000657451,0.000657451,0.000657451
10,37.6897,1.15562,1.50443,1.15196,0.60907,0.52572,0.56533,0.34599,1.32428,1.55751,1.2838,0.000650383,0.000650383,0.000650383
11,41.5217,1.16067,1.48584,1.15047,0.61431,0.51037,0.555,0.33291,1.3138,1.65261,1.25213,0.000643314,0.000643314,0.000643314
12,45.2051,1.12268,1.43241,1.13551,0.67996,0.53071,0.59463,0.37261,1.27114,1.41369,1.2285,0.000636245,0.000636245,0.000636245
13,48.6715,1.11935,1.39197,1.12776,0.68131,0.5396,0.5966,0.37182,1.23796,1.40109,1.21866,0.000629177,0.000629177,0.000629177
14,52.1049,1.11813,1.3765,1.12114,0.68981,0.5441,0.59089,0.37484,1.24221,1.41501,1.21305,0.000622108,0.000622108,0.000622108
15,55.6017,1.11694,1.33195,1.12486,0.75045,0.52694,0.60604,0.38313,1.24011,1.38526,1.21062,0.00061504,0.00061504,0.00061504
16,59.2728,1.09383,1.30593,1.11623,0.64544,0.58536,0.60972,0.36999,1.27822,1.38319,1.23013,0.000607971,0.000607971,0.000607971
17,63.0144,1.06038,1.22578,1.09812,0.61804,0.591,0.6292,0.38175,1.24911,1.31654,1.22093,0.000600902,0.000600902,0.000600902
18,66.8318,1.06524,1.21196,1.10504,0.65388,0.59051,0.61478,0.38025,1.23589,1.3095,1.20732,0.000593834,0.000593834,0.000593834
19,70.284,1.06873,1.21965,1.104,0.72274,0.56392,0.63417,0.39792,1.22455,1.27048,1.20505,0.000586765,0.000586765,0.000586765
20,73.7792,1.04904,1.21181,1.09593,0.54822,0.57118,0.58389,0.36246,1.24844,1.36021,1.21785,0.000579697,0.000579697,0.000579697
21,77.1733,1.03757,1.18906,1.08867,0.6935,0.565,0.62075,0.38851,1.21454,1.26937,1.20161,0.000572628,0.000572628,0.000572628
22,80.5854,1.02823,1.15541,1.08211,0.65035,0.61248,0.6417,0.40353,1.23497,1.23984,1.20628,0.000565559,0.000565559,0.000565559
